date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_total_millis,duration_init_millis,duration_active_millis,duration_idle_millis,duration_other_millis,num_init_periods,num_active_periods,num_idle_periods,num_theme_selections,num_interest_point_selections,themeNone,theme0,theme1,theme2,theme3,theme4,ip1,ip2,ip3,ip4,ip5,ip6,ip7,ip8,ip9,ip10,ip11,ip12,ip13,ip14,media-panel-close,media-play,media-pause,media-ended,media-time-changed,nav-reset-home-view,themes-panel-drawer-open,themes-panel-drawer-close,play_auroch_hunt.ogv,play_onager_mother_and_foal.ogv,play_hunting_dog_party.ogv,play_aurochs_horns.ogv,play_asian_onager.ogv,play_cloaked_hunter.ogv,play_aurochs.webm,play_beard_3672.webm,play_olsen_3649.webm,play_abdulaziz_3736.webm,play_khan_3745.webm,play_beard_3670.webm,
2012-11-20 00:00:00.000,2012-11-20 12:16:52.427,2012-11-20 16:46:36.194,1353387600000,1353431812427,1353447996194,16183767,410,6396214,8546265,1240878,18,27,35,90,81,16,18,20,12,16,8,7,14,9,4,2,7,2,3,6,4,7,13,0,3,23,19,19,3,1,143,55,51,3,2,0,2,1,1,3,2,0,2,1,2,
2012-11-21 00:00:00.000,2012-11-21 09:34:36.119,2012-11-21 14:57:39.707,1353474000000,1353508476119,1353527859707,19383588,20,7332231,12051337,0,1,20,21,21,110,7,2,4,3,1,4,22,11,6,6,2,12,1,5,11,3,14,6,3,8,12,0,0,0,0,68,31,21,0,0,0,0,0,0,0,0,0,0,0,0,
2012-11-23 00:00:00.000,2012-11-23 08:58:15.736,2012-11-23 16:44:16.071,1353646800000,1353679095736,1353707056071,27960335,19,16391225,11569091,0,1,33,34,207,270,75,32,26,15,25,34,20,23,15,20,6,42,14,18,12,11,42,29,7,11,34,40,40,10,13,418,187,153,4,6,1,3,0,4,4,1,3,4,3,7,
2012-11-24 00:00:00.000,2012-11-24 09:23:41.900,2012-11-24 16:56:18.505,1353733200000,1353767021900,1353794178505,27156605,21,12480086,14676498,0,1,26,27,141,212,46,28,21,13,12,21,24,21,10,11,15,17,16,9,9,6,28,16,15,15,60,27,27,11,6,233,89,86,2,4,1,2,3,4,3,2,2,2,1,1,
2012-11-25 00:00:00.000,2012-11-25 11:32:54.431,2012-11-25 16:47:23.871,1353819600000,1353861174431,1353880043871,18869440,19,5270580,13598841,0,1,15,16,72,73,24,10,18,8,5,7,5,8,4,10,5,5,3,3,4,2,2,11,3,8,6,10,10,5,10,113,38,32,0,3,1,1,1,0,1,0,1,0,0,2,
2012-11-26 00:00:00.000,2012-11-26 14:38:16.399,2012-11-26 14:52:10.564,1353906000000,1353958696399,1353959530564,834165,41,602680,11282,220162,2,2,2,14,21,0,3,3,3,3,2,2,1,1,2,1,2,4,1,0,1,4,0,0,2,6,1,1,0,0,34,11,12,0,0,0,1,0,0,0,0,0,0,0,0,
2012-11-27 00:00:00.000,2012-11-27 09:17:37.206,2012-11-27 15:44:54.547,1353992400000,1354025857206,1354049094547,23237341,162,4971290,17378922,886967,5,14,15,52,63,9,9,11,8,10,5,13,3,3,2,6,6,3,3,3,6,7,3,4,1,21,19,19,1,10,90,40,39,2,2,1,2,0,1,0,2,4,2,2,1,
2012-11-28 00:00:00.000,2012-11-28 09:14:37.918,2012-11-28 17:22:02.595,1354078800000,1354112077918,1354141322595,29244677,124,4452742,24693486,98325,2,15,16,40,38,7,6,6,7,7,7,3,2,3,1,3,2,0,1,4,4,7,2,4,2,8,13,13,5,11,75,28,29,3,1,3,0,1,1,2,2,0,0,0,0,
2012-11-29 00:00:00.000,2012-11-29 09:24:11.141,2012-11-29 18:41:35.835,1354165200000,1354199051141,1354232495835,33444694,80,5569717,17061718,10813179,4,19,21,51,42,11,7,7,9,10,7,6,9,1,1,1,1,3,3,5,1,2,4,5,0,10,8,8,3,4,82,23,22,0,0,2,1,0,1,0,1,1,0,2,0,
2012-11-30 00:00:00.000,2012-11-30 09:26:37.170,2012-11-30 16:21:26.766,1354251600000,1354285597170,1354310486766,24889596,327,5388800,16633552,2866917,11,30,35,88,76,13,17,18,17,14,9,7,13,4,2,3,7,3,5,7,3,5,6,2,9,18,26,26,7,3,167,64,64,2,2,1,1,0,2,1,4,3,2,3,5,
2012-12-01 00:00:00.000,2012-12-01 09:23:00.403,2012-12-01 17:15:25.315,1354338000000,1354371780403,1354400125315,28344912,237,9389428,17843388,1111859,3,44,44,67,159,13,12,14,10,9,9,15,15,8,9,2,14,1,8,5,28,25,12,4,13,35,21,21,9,8,183,87,81,3,2,1,3,1,3,0,2,2,0,0,4,
2012-12-02 00:00:00.000,2012-12-02 11:21:16.828,2012-12-02 17:06:19.467,1354424400000,1354465276828,1354485979467,20702639,39,6628421,14074179,0,1,27,28,91,144,28,18,14,9,16,6,14,9,13,6,12,18,10,5,11,10,9,15,7,5,26,33,33,17,5,172,74,71,1,5,2,2,1,3,0,6,6,4,1,2,
2012-12-04 00:00:00.000,2012-12-04 10:01:21.055,2012-12-04 17:28:24.610,1354597200000,1354633281055,1354660104610,26823555,56,3973375,22850124,0,1,19,20,31,37,6,7,6,6,2,4,3,2,2,2,4,4,1,8,1,0,4,3,1,2,2,11,11,4,4,57,20,19,3,0,1,1,0,0,0,2,2,1,1,0,
2012-12-05 00:00:00.000,2012-12-05 09:16:23.182,2012-12-05 15:03:04.655,1354683600000,1354716983182,1354737784655,20801473,88,840980,8271389,11689016,2,6,7,17,7,4,5,2,4,0,2,1,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,27,10,10,0,0,0,0,0,0,0,0,0,0,0,0,
2012-12-06 00:00:00.000,2012-12-06 10:56:59.008,2012-12-06 19:30:45.239,1354770000000,1354809419008,1354840245239,30826231,59,1104485,29721687,0,1,6,7,1,29,0,0,0,0,0,1,5,2,1,2,0,4,0,1,0,6,3,2,1,2,5,1,1,2,1,14,10,9,0,0,0,0,0,0,0,0,1,0,0,0,
2012-12-07 00:00:00.000,2012-12-07 09:14:04.870,2012-12-07 14:56:40.297,1354856400000,1354889644870,1354910200297,20555427,20,3530761,17024646,0,1,15,16,47,85,14,8,12,6,4,3,10,9,6,5,10,4,8,5,5,4,4,3,7,5,23,21,21,11,8,79,40,35,1,0,2,1,1,2,2,1,4,3,4,0,
2012-12-08 00:00:00.000,2012-12-08 09:49:33.680,2012-12-08 16:34:49.439,1354942800000,1354978173680,1355002489439,24315759,22,7268425,17047312,0,1,37,38,140,125,27,14,26,28,30,15,18,16,10,12,6,4,5,5,7,5,14,9,1,13,21,28,28,19,25,230,84,80,2,3,1,6,1,1,4,2,1,4,0,3,
2012-12-09 00:00:00.000,2012-12-09 11:54:11.699,2012-12-09 16:47:36.368,1355029200000,1355072051699,1355089656368,17604669,21,3846707,13757941,0,1,19,19,41,73,9,10,12,5,5,0,7,8,4,3,11,8,5,3,3,3,6,5,2,5,16,13,13,8,1,64,20,21,0,3,1,0,1,1,0,1,2,2,2,0,
2012-12-11 00:00:00.000,2012-12-11 09:14:11.561,2012-12-11 16:29:39.436,1355202000000,1355235251561,1355261379436,26127875,95,2199303,23928477,0,1,10,11,27,43,9,0,5,7,3,3,4,12,4,1,2,4,2,1,2,0,2,4,2,3,2,5,5,3,0,68,30,25,0,0,1,1,0,2,0,0,1,0,0,0,
2012-12-12 00:00:00.000,2012-12-12 09:32:49.047,2012-12-12 16:38:46.077,1355288400000,1355322769047,1355348326077,25557030,425,2259396,23297209,0,1,9,10,17,41,6,2,0,1,1,7,4,4,1,0,1,13,3,3,1,4,4,0,2,1,0,6,6,5,2,37,21,19,0,0,0,0,0,0,1,1,1,0,1,2,
2012-12-13 00:00:00.000,2012-12-13 09:44:43.366,2012-12-13 19:22:45.058,1355374800000,1355409883366,1355444565058,34681692,81,3755401,30926210,0,1,17,18,34,60,7,7,8,2,8,2,6,8,3,5,0,2,4,2,7,1,6,7,3,6,9,15,15,4,3,96,42,37,4,1,0,2,0,2,1,4,0,0,0,1,
2012-12-14 00:00:00.000,2012-12-14 09:25:31.683,2012-12-14 15:24:51.004,1355461200000,1355495131683,1355516691004,21559321,164,1789816,19393171,376170,3,9,10,56,28,18,3,9,9,9,8,5,3,0,1,1,3,3,0,2,2,2,3,0,3,5,9,9,0,0,74,20,17,0,2,0,1,2,3,0,0,1,0,0,0,
2012-12-15 00:00:00.000,2012-12-15 09:49:32.005,2012-12-15 16:50:36.430,1355547600000,1355582972005,1355608236430,25264425,76,6151895,19112454,0,1,26,27,68,136,16,10,12,11,13,6,24,18,7,9,20,5,5,4,5,1,15,14,3,6,17,30,30,16,5,145,77,75,9,4,1,3,3,1,0,1,3,3,2,0,
2012-12-16 00:00:00.000,2012-12-16 10:39:13.609,2012-12-16 16:36:33.318,1355634000000,1355672353609,1355693793318,21439709,81,2916956,18522672,0,1,14,15,49,51,15,6,8,9,4,7,7,4,4,7,5,4,1,1,3,2,3,3,3,4,8,6,6,4,4,83,29,29,1,0,0,1,0,0,1,2,0,0,0,1,
2012-12-18 00:00:00.000,2012-12-18 09:27:00.280,2012-12-18 15:15:34.302,1355806800000,1355840820280,1355861734302,20914022,57,996970,19916995,0,1,6,7,3,9,1,1,0,1,0,0,2,3,1,0,0,1,0,0,0,0,1,1,0,0,3,3,3,2,0,13,4,4,1,1,0,0,0,1,0,0,0,0,0,0,
2012-12-19 00:00:00.000,2012-12-19 08:46:36.214,2012-12-19 16:00:02.118,1355893200000,1355924796214,1355950802118,26005904,182,1570909,24434813,0,1,9,10,19,16,6,1,3,4,3,2,1,3,1,0,2,1,1,1,1,1,1,2,1,0,1,0,0,0,3,42,19,14,0,0,0,0,0,0,0,0,0,0,0,0,
2012-12-20 00:00:00.000,2012-12-20 09:31:04.501,2012-12-20 17:58:42.628,1355979600000,1356013864501,1356044322628,30458127,22,5519128,24938977,0,1,22,23,72,117,20,10,17,12,6,7,13,17,13,9,6,12,5,7,4,6,11,4,4,6,19,39,39,12,11,115,56,49,4,4,1,5,1,2,2,4,2,6,5,3,
2012-12-21 00:00:00.000,2012-12-21 09:05:32.607,2012-12-21 16:45:57.810,1356066000000,1356098732607,1356126357810,27625203,21,4025844,23599338,0,1,22,23,33,60,9,6,3,5,8,2,7,11,8,3,0,6,0,3,1,2,5,10,2,2,13,10,10,3,3,80,33,30,0,0,0,1,1,4,0,0,3,0,1,0,
2012-12-22 00:00:00.000,2012-12-22 09:12:36.290,2012-12-22 17:12:12.463,1356152400000,1356185556290,1356214332463,28776173,32,6850304,21925837,0,1,19,19,66,59,20,13,8,9,6,10,10,9,5,4,3,1,3,4,7,1,2,0,4,6,2,22,22,8,6,100,28,26,3,0,2,0,1,1,1,7,0,1,6,0,
2012-12-23 00:00:00.000,2012-12-23 11:51:34.631,2012-12-23 15:54:17.856,1356238800000,1356281494631,1356296057856,14563225,28,3126513,11436684,0,1,14,15,77,62,15,14,15,15,10,8,11,4,6,3,2,8,4,4,1,1,5,4,5,4,10,9,9,3,3,111,39,37,1,1,0,0,0,2,1,1,0,0,3,0,
2012-12-26 00:00:00.000,2012-12-26 09:42:08.048,2012-12-26 16:01:10.982,1356498000000,1356532928048,1356555670982,22742934,47,2720483,20022404,0,1,11,12,8,37,2,3,0,2,0,1,0,2,3,1,9,3,2,0,2,7,2,1,2,3,7,4,4,7,7,27,12,10,0,0,0,0,0,0,0,0,0,3,0,1,
2012-12-27 00:00:00.000,2012-12-27 09:49:48.866,2012-12-27 19:13:39.572,1356584400000,1356619788866,1356653619572,33830706,23,9096257,24734426,0,1,43,44,109,174,26,20,20,14,13,16,25,23,6,10,6,14,8,8,9,9,19,14,8,15,31,18,18,9,9,205,88,83,3,1,0,1,2,3,0,3,1,1,1,2,
2012-12-28 00:00:00.000,2012-12-28 09:15:50.541,2012-12-28 16:49:58.792,1356670800000,1356704150541,1356731398792,27248251,104,9833656,17414491,0,1,46,46,99,187,32,20,17,12,8,10,26,21,17,14,3,12,8,7,4,11,21,23,8,12,28,22,22,5,1,187,68,63,0,3,0,3,0,3,3,1,2,3,3,1,
2012-12-29 00:00:00.000,2012-12-29 09:31:53.252,2012-12-29 16:29:31.738,1356757200000,1356791513252,1356816571738,25058486,22,3769098,21289366,0,1,23,24,53,44,11,9,13,7,7,6,2,0,6,4,4,4,0,5,1,2,7,4,2,3,5,9,9,2,3,85,20,20,1,3,0,0,0,0,0,1,2,1,0,1,
2012-12-30 00:00:00.000,2012-12-30 11:29:13.520,2012-12-30 16:46:11.631,1356843600000,1356884953520,1356903971631,19018111,22,7748502,11269587,0,1,31,32,99,130,24,14,16,13,22,10,12,20,3,8,5,9,6,6,5,4,20,11,13,8,10,23,23,9,4,171,66,60,7,0,1,0,1,4,1,6,2,1,0,0,
2012-12-31 00:00:00.000,2012-12-31 09:14:40.158,2012-12-31 16:24:52.645,1356930000000,1356963280158,1356989092645,25812487,19,6326783,19485685,0,1,36,37,66,78,20,6,9,12,8,11,12,13,3,3,7,2,2,3,12,0,11,5,2,3,19,17,17,6,5,149,48,46,5,1,0,0,0,4,3,1,0,1,2,0,
2013-01-02 00:00:00.000,2013-01-02 09:32:30.670,2013-01-02 16:13:28.659,1357102800000,1357137150670,1357161208659,24057989,40,3637767,20420182,0,1,17,18,11,97,0,1,1,4,3,2,17,12,3,2,6,9,6,10,2,3,10,11,5,1,30,17,17,7,12,42,31,29,1,2,0,0,0,7,1,0,3,1,0,2,
2013-01-03 00:00:00.000,2013-01-03 09:44:10.182,2013-01-03 17:38:46.724,1357189200000,1357224250182,1357252726724,28476542,21,3421784,25054737,0,1,19,20,17,54,5,1,1,4,4,2,10,13,9,1,0,3,1,0,0,0,5,9,2,1,3,9,9,7,1,50,25,25,1,0,1,0,1,5,1,0,0,0,0,0,
2013-01-04 00:00:00.000,2013-01-04 09:35:16.231,2013-01-04 16:15:38.343,1357275600000,1357310116231,1357334138343,24022112,22,1949954,22072136,0,1,11,12,21,20,3,3,4,3,4,4,2,4,1,0,1,2,1,1,1,0,4,1,0,2,4,6,6,2,0,45,20,19,2,0,0,0,0,0,0,0,2,2,0,0,
