date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis
2012-11-21 00:00:00.000,2012-11-21 13:42:50.089,2012-11-21 13:52:29.115,1353474000000,1353523370089,1353523949115,579026
2012-11-21 00:00:00.000,2012-11-21 13:59:03.249,2012-11-21 14:02:29.311,1353474000000,1353524343249,1353524549311,206062
2012-11-21 00:00:00.000,2012-11-21 14:11:22.314,2012-11-21 14:15:35.346,1353474000000,1353525082314,1353525335346,253032
2012-11-21 00:00:00.000,2012-11-21 14:26:41.819,2012-11-21 14:29:56.852,1353474000000,1353526001819,1353526196852,195033
2012-11-21 00:00:00.000,2012-11-21 14:35:27.007,2012-11-21 14:38:52.030,1353474000000,1353526527007,1353526732030,205023
2012-11-21 00:00:00.000,2012-11-21 14:53:12.212,2012-11-21 14:57:37.247,1353474000000,1353527592212,1353527857247,265035
2012-11-23 00:00:00.000,2012-11-23 08:58:18.537,2012-11-23 09:01:22.575,1353646800000,1353679098537,1353679282575,184038
2012-11-23 00:00:00.000,2012-11-23 10:21:47.170,2012-11-23 10:24:52.229,1353646800000,1353684107170,1353684292229,185059
2012-11-23 00:00:00.000,2012-11-23 10:28:24.076,2012-11-23 10:31:46.106,1353646800000,1353684504076,1353684706106,202030
2012-11-23 00:00:00.000,2012-11-23 10:31:50.439,2012-11-23 10:36:34.505,1353646800000,1353684710439,1353684994505,284066
2012-11-23 00:00:00.000,2012-11-23 10:43:20.185,2012-11-23 10:52:21.250,1353646800000,1353685400185,1353685941250,541065
2012-11-23 00:00:00.000,2012-11-23 10:54:26.405,2012-11-23 11:01:01.838,1353646800000,1353686066405,1353686461838,395433
2012-11-23 00:00:00.000,2012-11-23 11:06:38.241,2012-11-23 11:11:09.270,1353646800000,1353686798241,1353687069270,271029
2012-11-23 00:00:00.000,2012-11-23 11:17:52.459,2012-11-23 11:25:45.524,1353646800000,1353687472459,1353687945524,473065
2012-11-23 00:00:00.000,2012-11-23 11:27:15.961,2012-11-23 11:46:14.054,1353646800000,1353688035961,1353689174054,1138093
2012-11-23 00:00:00.000,2012-11-23 11:48:07.142,2012-11-23 11:55:37.575,1353646800000,1353689287142,1353689737575,450433
2012-11-23 00:00:00.000,2012-11-23 11:56:28.092,2012-11-23 12:05:25.151,1353646800000,1353689788092,1353690325151,537059
2012-11-23 00:00:00.000,2012-11-23 12:06:38.427,2012-11-23 12:10:06.498,1353646800000,1353690398427,1353690606498,208071
2012-11-23 00:00:00.000,2012-11-23 12:12:30.593,2012-11-23 12:24:58.660,1353646800000,1353690750593,1353691498660,748067
2012-11-23 00:00:00.000,2012-11-23 12:27:36.359,2012-11-23 12:52:48.488,1353646800000,1353691656359,1353693168488,1512129
2012-11-23 00:00:00.000,2012-11-23 12:53:16.330,2012-11-23 13:03:57.389,1353646800000,1353693196330,1353693837389,641059
2012-11-23 00:00:00.000,2012-11-23 13:09:21.560,2012-11-23 13:17:21.621,1353646800000,1353694161560,1353694641621,480061
2012-11-23 00:00:00.000,2012-11-23 13:20:47.931,2012-11-23 13:43:15.108,1353646800000,1353694847931,1353696195108,1347177
2012-11-23 00:00:00.000,2012-11-23 13:44:37.696,2012-11-23 13:55:12.793,1353646800000,1353696277696,1353696912793,635097
2012-11-23 00:00:00.000,2012-11-23 14:06:59.600,2012-11-23 14:16:37.860,1353646800000,1353697619600,1353698197860,578260
2012-11-23 00:00:00.000,2012-11-23 14:22:27.663,2012-11-23 14:39:41.762,1353646800000,1353698547663,1353699581762,1034099
2012-11-23 00:00:00.000,2012-11-23 14:46:38.890,2012-11-23 14:57:23.952,1353646800000,1353699998890,1353700643952,645062
2012-11-23 00:00:00.000,2012-11-23 14:57:55.649,2012-11-23 15:02:01.714,1353646800000,1353700675649,1353700921714,246065
2012-11-23 00:00:00.000,2012-11-23 15:03:16.490,2012-11-23 15:06:55.915,1353646800000,1353700996490,1353701215915,219425
2012-11-23 00:00:00.000,2012-11-23 15:07:04.230,2012-11-23 15:10:12.236,1353646800000,1353701224230,1353701412236,188006
2012-11-23 00:00:00.000,2012-11-23 15:14:14.274,2012-11-23 15:17:50.613,1353646800000,1353701654274,1353701870613,216339
2012-11-23 00:00:00.000,2012-11-23 15:20:41.070,2012-11-23 15:25:25.095,1353646800000,1353702041070,1353702325095,284025
2012-11-23 00:00:00.000,2012-11-23 15:25:46.008,2012-11-23 15:33:20.077,1353646800000,1353702346008,1353702800077,454069
2012-11-23 00:00:00.000,2012-11-23 15:36:44.594,2012-11-23 15:47:08.661,1353646800000,1353703004594,1353703628661,624067
2012-11-23 00:00:00.000,2012-11-23 15:52:57.012,2012-11-23 15:56:15.038,1353646800000,1353703977012,1353704175038,198026
2012-11-23 00:00:00.000,2012-11-23 16:01:58.491,2012-11-23 16:07:48.528,1353646800000,1353704518491,1353704868528,350037
2012-11-23 00:00:00.000,2012-11-23 16:14:01.541,2012-11-23 16:22:06.973,1353646800000,1353705241541,1353705726973,485432
2012-11-23 00:00:00.000,2012-11-23 16:30:25.590,2012-11-23 16:37:35.834,1353646800000,1353706225590,1353706655834,430244
2012-11-23 00:00:00.000,2012-11-23 16:40:48.558,2012-11-23 16:44:13.596,1353646800000,1353706848558,1353707053596,205038
2012-11-24 00:00:00.000,2012-11-24 09:23:51.551,2012-11-24 09:27:08.585,1353733200000,1353767031551,1353767228585,197034
2012-11-24 00:00:00.000,2012-11-24 10:56:01.255,2012-11-24 10:59:25.291,1353733200000,1353772561255,1353772765291,204036
2012-11-24 00:00:00.000,2012-11-24 11:09:26.396,2012-11-24 11:12:52.423,1353733200000,1353773366396,1353773572423,206027
2012-11-24 00:00:00.000,2012-11-24 11:17:14.196,2012-11-24 11:23:03.268,1353733200000,1353773834196,1353774183268,349072
2012-11-24 00:00:00.000,2012-11-24 11:50:15.248,2012-11-24 12:01:51.320,1353733200000,1353775815248,1353776511320,696072
2012-11-24 00:00:00.000,2012-11-24 12:04:25.004,2012-11-24 12:08:14.436,1353733200000,1353776665004,1353776894436,229432
2012-11-24 00:00:00.000,2012-11-24 12:17:22.624,2012-11-24 12:29:45.662,1353733200000,1353777442624,1353778185662,743038
2012-11-24 00:00:00.000,2012-11-24 12:34:15.345,2012-11-24 12:41:47.402,1353733200000,1353778455345,1353778907402,452057
2012-11-24 00:00:00.000,2012-11-24 12:44:53.763,2012-11-24 12:48:06.767,1353733200000,1353779093763,1353779286767,193004
2012-11-24 00:00:00.000,2012-11-24 13:01:04.041,2012-11-24 13:07:00.071,1353733200000,1353780064041,1353780420071,356030
2012-11-24 00:00:00.000,2012-11-24 13:11:25.417,2012-11-24 13:18:54.482,1353733200000,1353780685417,1353781134482,449065
