date_formatted,starting_time_formatted,ending_time_formatted,date,starting_time,ending_time,duration_millis,num_interest_point_selections,num_theme_selections,num_taps,num_animation_starts,num_animation_stops,num_reset_home_view
2012-11-20 00:00:00.000,2012-11-20 12:55:27.932,2012-11-20 13:06:43.990,1353387600000,1353434127932,1353434803990,676058,16,6,29,60,60,13
2012-11-20 00:00:00.000,2012-11-20 13:11:08.143,2012-11-20 13:21:56.557,1353387600000,1353435068143,1353435716557,648414,8,7,33,81,82,13
2012-11-20 00:00:00.000,2012-11-20 13:23:36.193,2012-11-20 13:27:04.229,1353387600000,1353435816193,1353436024229,208036,2,0,1,6,5,1
2012-11-20 00:00:00.000,2012-11-20 13:30:22.595,2012-11-20 13:34:13.630,1353387600000,1353436222595,1353436453630,231035,1,0,2,5,4,1
2012-11-20 00:00:00.000,2012-11-20 13:35:18.473,2012-11-20 13:39:00.500,1353387600000,1353436518473,1353436740500,222027,0,0,1,4,4,1
2012-11-20 00:00:00.000,2012-11-20 13:41:52.419,2012-11-20 13:46:40.482,1353387600000,1353436912419,1353437200482,288063,2,1,1,24,24,3
2012-11-20 00:00:00.000,2012-11-20 13:47:01.220,2012-11-20 13:56:09.275,1353387600000,1353437221220,1353437769275,548055,11,36,20,87,87,39
2012-11-20 00:00:00.000,2012-11-20 13:59:53.996,2012-11-20 14:03:00.021,1353387600000,1353437993996,1353438180021,186025,0,0,0,2,2,1
2012-11-20 00:00:00.000,2012-11-20 14:04:15.140,2012-11-20 14:07:44.191,1353387600000,1353438255140,1353438464191,209051,1,0,0,3,3,1
2012-11-20 00:00:00.000,2012-11-20 14:26:39.105,2012-11-20 14:31:18.174,1353387600000,1353439599105,1353439878174,279069,4,2,2,30,30,3
2012-11-20 00:00:00.000,2012-11-20 14:37:16.404,2012-11-20 14:41:55.684,1353387600000,1353440236404,1353440515684,279280,2,1,1,25,26,2
2012-11-20 00:00:00.000,2012-11-20 15:01:59.364,2012-11-20 15:05:18.399,1353387600000,1353441719364,1353441918399,199035,0,0,1,3,2,1
2012-11-20 00:00:00.000,2012-11-20 15:05:59.838,2012-11-20 15:12:30.898,1353387600000,1353441959838,1353442350898,391060,4,6,15,8,8,7
2012-11-20 00:00:00.000,2012-11-20 16:00:50.456,2012-11-20 16:04:15.579,1353387600000,1353445250456,1353445455579,205123,1,0,1,16,17,2
2012-11-20 00:00:00.000,2012-11-20 16:17:17.088,2012-11-20 16:26:18.156,1353387600000,1353446237088,1353446778156,541068,18,10,21,54,53,11
2012-11-20 00:00:00.000,2012-11-20 16:41:46.638,2012-11-20 16:46:33.706,1353387600000,1353447706638,1353447993706,287068,0,0,4,3,3,1
2012-11-21 00:00:00.000,2012-11-21 09:34:41.166,2012-11-21 09:37:50.197,1353474000000,1353508481166,1353508670197,189031,0,0,0,3,2,1
2012-11-21 00:00:00.000,2012-11-21 10:14:34.922,2012-11-21 10:18:45.987,1353474000000,1353510874922,1353511125987,251065,6,4,4,26,26,7
