date_formatted	starting_time_formatted	ending_time_formatted	date	starting_time	ending_time	duration_init_millis	duration_active_millis	duration_idle_millis	duration_error_millis	num_startups	num_tours	num_tour_46694	num_tour_79105	num_tour_79156	num_tour_79221	num_tour_80073	num_tour_89586	num_idle_periods	num_errors	num_reloads	
2012-06-15 00:00:00.000	2012-06-15 06:28:33.626	2012-06-15 21:57:15.685	1339718400000	1339741713626	1339797435685	1451	20621865	34455849	51	76	435	71	93	66	52	75	78	431	75	75	
2012-06-16 00:00:00.000	2012-06-16 06:28:30.713	2012-06-16 21:57:11.242	1339804800000	1339828110713	1339883831242	1021	15021902	40272253	39	53	318	60	83	56	42	39	38	315	52	52	
2012-06-17 00:00:00.000	2012-06-17 06:28:40.300	2012-06-17 23:59:55.652	1339891200000	1339914520300	1339977595652	1371	16153426	46643576	45	72	352	52	82	49	47	58	64	345	72	72	
2012-06-18 00:00:00.000	2012-06-18 00:00:08.664	2012-06-18 21:57:03.947	1339977600000	1339977608664	1340056623947	1205	16512925	61790080	40	63	349	42	79	67	54	58	49	348	61	61	
2012-06-19 00:00:00.000	2012-06-19 06:28:30.368	2012-06-19 21:56:55.546	1340064000000	1340087310368	1340143015546	888	14429427	40670720	29	47	298	48	66	41	44	54	45	297	48	47	
2012-06-20 00:00:00.000	2012-06-20 06:28:10.421	2012-06-20 21:56:50.684	1340150400000	1340173690421	1340229410684	663	8952155	46250658	27	35	189	29	41	30	26	32	31	191	34	34	
2012-06-21 00:00:00.000	2012-06-21 06:28:05.052	2012-06-21 21:56:46.210	1340236800000	1340260085052	1340315806210	1133	16416965	38601508	35	59	347	53	74	56	47	53	64	347	59	59	
2012-06-22 00:00:00.000	2012-06-22 06:28:15.175	2012-06-22 21:56:40.805	1340323200000	1340346495175	1340402200805	1412	20451833	34452169	55	74	430	53	103	66	64	76	68	427	76	76	
2012-06-23 00:00:00.000	2012-06-23 06:27:57.235	2012-06-23 21:57:04.021	1340409600000	1340432877235	1340488624021	1020	17635791	37614315	34	54	342	52	78	61	45	52	54	339	54	54	
2012-06-24 00:00:00.000	2012-06-24 06:28:05.606	2012-06-24 23:59:51.841	1340496000000	1340519285606	1340582391841	1345	16521805	46065061	49	71	361	54	86	54	59	58	50	358	72	72	
2012-06-25 00:00:00.000	2012-06-25 00:00:04.853	2012-06-25 21:56:44.725	1340582400000	1340582404853	1340661404725	92	14259283	63625340	60	5	255	32	63	41	44	36	39	253	5	3	
2012-06-26 00:00:00.000	2012-06-26 06:27:38.066	2012-06-26 21:56:27.601	1340668800000	1340692058066	1340747787601	75	14721008	40435987	93	4	263	22	52	33	31	31	94	263	6	3	
2012-06-27 00:00:00.000	2012-06-27 06:27:35.385	2012-06-27 21:56:44.838	1340755200000	1340778455385	1340834204838	36	15870922	39474877	34	2	280	44	64	46	40	44	42	277	2	1	
2012-06-28 00:00:00.000	2012-06-28 06:27:33.482	2012-06-28 21:56:33.565	1340841600000	1340864853482	1340920593565	39	11486169	44006123	0	2	202	29	51	32	28	31	31	201	0	0	
2012-06-29 00:00:00.000	2012-06-29 06:27:23.449	2012-06-29 21:56:08.225	1340928000000	1340951243449	1341006968225	59	20977271	34051091	0	3	368	54	97	51	50	60	56	368	0	0	
2012-06-30 00:00:00.000	2012-06-30 06:27:19.957	2012-06-30 21:56:04.606	1341014400000	1341037639957	1341093364606	38	16763124	39597811	0	2	277	42	62	43	37	50	43	273	0	0	
2012-07-01 00:00:00.000	2012-07-01 06:27:14.341	2012-07-01 23:59:59.246	1341100800000	1341124034341	1341187199246	77	13100468	49525411	71	4	230	30	54	33	39	40	34	230	4	2	
2012-07-02 00:00:00.000	2012-07-02 00:00:12.254	2012-07-02 21:55:48.395	1341187200000	1341187212254	1341266148395	71	22931739	55346982	1093	4	406	58	101	54	62	66	65	403	8	4	
2012-07-03 00:00:00.000	2012-07-03 06:27:06.710	2012-07-03 21:55:54.634	1341273600000	1341296826710	1341352554634	41	16226174	39041374	980	2	287	46	68	44	48	46	35	285	2	1	
2012-07-04 00:00:00.000	2012-07-04 06:26:58.423	2012-07-04 21:56:07.348	1341360000000	1341383218423	1341438967348	20	14739091	40490527	0	1	259	41	64	42	33	42	37	260	0	0	
2012-07-05 00:00:00.000	2012-07-05 06:26:58.301	2012-07-05 21:55:43.921	1341446400000	1341469618301	1341525343921	19	15830875	39628081	0	1	279	42	58	41	52	44	42	277	0	0	
2012-07-06 00:00:00.000	2012-07-06 06:26:53.240	2012-07-06 21:55:41.880	1341532800000	1341556013240	1341611741880	92	23256675	31650076	160	5	413	63	97	65	63	64	61	410	8	4	
2012-07-07 00:00:00.000	2012-07-07 06:26:45.120	2012-07-07 21:55:49.045	1341619200000	1341642405120	1341698149045	20	2258889	53460003	0	1	40	9	14	2	4	5	6	40	0	0	
2012-07-08 00:00:00.000	2012-07-08 06:26:56.229	2012-07-08 23:59:58.517	1341705600000	1341728816229	1341791998517	55	11177432	51561602	109	3	198	32	54	25	29	35	23	198	4	2	
2012-07-09 00:00:00.000	2012-07-09 00:00:11.527	2012-07-09 21:55:17.587	1341792000000	1341792011527	1341870917587	0	0	78906060	0	0	0	0	0	0	0	0	0	1	0	0	
2012-07-10 00:00:00.000	2012-07-10 06:26:35.106	2012-07-10 21:55:18.134	1341878400000	1341901595106	1341957318134	37	7906779	47515597	31	2	138	23	30	22	19	29	15	138	2	1	
2012-07-11 00:00:00.000	2012-07-11 06:26:42.423	2012-07-11 21:55:16.652	1341964800000	1341988002423	1342043716652	59	16122917	38962096	58	3	283	41	63	44	40	50	45	283	4	2	
2012-07-12 00:00:00.000	2012-07-12 06:26:36.021	2012-07-12 23:59:56.033	1342051200000	1342074396021	1342137596033	59	11354332	50972353	50	3	209	16	14	41	56	12	70	207	2	1	
2012-07-13 00:00:00.000	2012-07-13 00:00:09.043	2012-07-13 23:59:49.343	1342137600000	1342137609043	1342223989343	223	19741790	66141616	0	11	344	108	106	21	19	66	24	343	0	0	
